latitude,longtitude,depth,temperature,time
,,4.080,19.4,1685091637328
,,4.080,19.4,1685091637637
,,4.080,19.4,1685091637806
,,4.080,19.4,1685091638047
,,4.080,19.4,1685091638572
,,4.080,19.4,1685091638897
,,4.080,19.4,1685091639179
,,4.090,19.4,1685091639503
,,4.090,19.4,1685091639504
,,4.100,19.4,1685091639550
,,4.111,19.4,1685091639689
,,4.121,19.4,1685091639689
,,4.132,19.4,1685091639732
,,4.132,19.4,1685091639897
,,4.132,19.4,1685091639898
,,4.132,19.4,1685091640063
,,4.132,19.4,1685091640064
,,4.132,19.4,1685091640112
,,4.152,19.4,1685091640244
,,4.163,19.4,1685091640268
,,4.194,19.4,1685091640291
,,4.215,19.4,1685091640430
,,4.184,19.4,1685091640431
,,4.173,19.4,1685091640618
,,4.184,19.4,1685091640655
,,4.225,19.4,1685091640656
,,4.256,19.4,1685091640808
,,4.288,19.4,1685091640808
,,4.329,19.4,1685091640847
,,4.350,19.4,1685091640988
,,4.329,19.4,1685091641020
,,4.329,19.4,1685091641145
,,4.267,19.4,1685091641178
,,4.267,19.4,1685091641331
,,4.288,19.4,1685091641367
,,4.309,19.4,1685091641367
,,4.277,19.4,1685091641518
,,4.256,19.4,1685091641545
,,4.225,19.4,1685091641545
,,4.184,19.4,1685091641702
,,4.132,19.4,1685091641703
,,4.100,19.4,1685091641885
,,4.111,19.4,1685091641911
,,4.121,19.4,1685091642073
,,4.142,19.4,1685091642443
,,4.121,19.4,1685091642478
,,4.100,19.4,1685091642499
,,4.090,19.4,1685091642625
,,4.100,19.4,1685091642649
,,4.100,19.4,1685091642823
,,4.090,19.4,1685091642894
,,4.090,19.4,1685091642964
,,4.090,19.4,1685091643033
,,4.090,19.4,1685091643103
,,4.100,19.4,1685091643173
,,4.080,19.4,1685091643244
,,4.111,19.4,1685091643313
,,4.152,19.4,1685091643383
,,4.173,19.4,1685091643453
,,4.152,19.4,1685091643523
,,4.152,19.4,1685091643593
,,4.142,19.4,1685091643664
,,4.152,19.4,1685091643734
,,4.163,19.4,1685091643803
,,4.173,19.4,1685091644098
,,4.152,19.4,1685091644288
,,4.163,19.4,1685091644354
,,4.152,19.4,1685091644424
,,4.100,19.4,1685091644494
,,4.038,19.4,1685091644564
,,3.996,19.4,1685091644920
,,3.975,19.4,1685091644948
,,3.996,19.4,1685091644978
,,3.986,19.4,1685091645021
,,3.986,19.4,1685091645091
,,3.965,19.4,1685091645161
,,3.965,19.4,1685091645231
,,3.965,19.4,1685091645301
,,3.944,19.4,1685091645369
,,3.955,19.4,1685091645439
,,3.965,19.4,1685091645509
,,3.986,19.4,1685091645578
,,4.007,19.4,1685091645648
,,4.007,19.4,1685091645718
,,3.996,19.4,1685091645788
,,3.975,19.4,1685091645859
,,3.986,19.4,1685091646002
,,3.975,19.4,1685091646068
,,3.955,19.4,1685091646138
,,3.934,19.4,1685091646209
,,3.913,19.4,1685091646279
,,3.913,19.4,1685091646349
,,3.923,19.4,1685091646419
,,3.923,19.4,1685091646489
,,3.934,19.4,1685091646558
,,3.923,19.4,1685091646629
,,3.934,19.4,1685091646699
,,3.944,19.4,1685091646769
,,3.923,19.4,1685091647061
,,3.934,19.4,1685091647247
,,3.934,19.4,1685091647316
,,3.944,19.4,1685091647386
,,3.955,19.4,1685091647458
,,3.965,19.4,1685091647526
,,3.965,19.4,1685091647596
,,3.955,19.4,1685091647878
,,3.934,19.4,1685091647915
,,3.934,19.4,1685091647975
,,3.923,19.4,1685091648046
,,3.923,19.4,1685091648115
,,3.913,19.4,1685091648186
,,3.913,19.4,1685091648256
,,3.913,19.4,1685091648325
,,3.903,19.4,1685091648396
,,3.892,19.4,1685091648466
,,3.892,19.4,1685091648535
,,3.892,19.4,1685091648605
,,3.913,19.4,1685091648676
,,3.923,19.4,1685091648745
,,3.923,19.4,1685091648815
,,3.923,19.4,1685091648885
,,3.923,19.4,1685091648955
,,3.923,19.4,1685091649139
,,3.934,19.4,1685091649140
,,3.955,19.4,1685091649196
,,3.975,19.4,1685091649321
,,3.975,19.4,1685091649346
,,3.965,19.4,1685091649503
,,3.955,19.4,1685091649503
,,3.944,19.4,1685091649550
,,3.934,19.4,1685091649673
,,3.944,19.4,1685091649698
,,3.965,19.4,1685091649861
,,3.986,19.4,1685091649862
,,3.996,19.4,1685091649919
,,3.986,19.4,1685091650232
,,3.955,19.4,1685091650415
,,3.934,19.4,1685091650459
,,3.934,19.4,1685091650602
,,3.934,19.4,1685091650602
,,3.944,19.4,1685091650657
,,3.955,19.4,1685091650995
,,3.975,19.4,1685091651043
,,3.975,19.4,1685091651043
,,3.944,19.4,1685091651160
,,3.923,19.4,1685091651180
,,3.913,19.4,1685091651216
,,3.923,19.4,1685091651286
,,3.934,19.4,1685091651356
,,3.944,19.4,1685091651425
,,3.944,19.4,1685091651495
,,3.944,19.4,1685091651566
,,3.965,19.4,1685091651636
,,3.965,19.4,1685091651705
,,3.955,19.4,1685091651775
,,3.955,19.4,1685091651845
,,3.965,19.4,1685091651916
,,3.955,19.4,1685091651986
,,3.944,19.4,1685091652055
,,3.944,19.4,1685091652125
,,3.944,19.4,1685091652195
,,3.944,19.4,1685091652266
,,3.965,19.4,1685091652336
,,3.965,19.4,1685091652406
,,3.934,19.4,1685091652476
,,3.944,19.4,1685091652545
,,3.934,19.4,1685091652615
,,3.934,19.4,1685091652685
,,3.923,19.2,1685091652756
,,3.955,19.2,1685091652826
,,3.965,19.2,1685091652895
,,3.975,19.2,1685091652965
,,3.986,19.2,1685091653308
,,3.986,19.2,1685091653448
,,3.965,19.2,1685091653515
,,3.965,19.2,1685091653820
,,3.975,19.2,1685091653861
,,3.975,19.2,1685091653896
,,3.975,19.2,1685091653966
,,3.986,19.2,1685091654036
,,4.017,19.2,1685091654107
,,3.996,19.2,1685091654178
,,3.996,19.2,1685091654247
,,3.996,19.2,1685091654316
,,3.996,19.2,1685091654387
,,4.007,19.2,1685091654456
,,4.017,19.2,1685091654526
,,4.007,19.2,1685091654596
,,4.007,19.2,1685091654666
,,3.996,19.2,1685091654736
,,3.996,19.2,1685091654806
,,3.986,19.2,1685091654876
,,3.955,19.2,1685091654946
,,3.965,19.2,1685091655018
,,3.965,19.2,1685091655087
,,3.955,19.2,1685091655157
,,3.965,19.2,1685091655227
,,3.986,19.2,1685091655296
,,3.975,19.2,1685091655367
,,3.975,19.2,1685091655437
,,3.975,19.2,1685091655506
,,3.975,19.2,1685091655576
,,3.965,19.2,1685091655647
,,3.975,19.4,1685091655717
,,3.996,19.4,1685091655787
,,3.996,19.4,1685091655858
,,4.007,19.4,1685091655928
,,4.007,19.4,1685091655997
,,3.996,19.4,1685091656277
,,3.986,19.4,1685091656478
,,4.007,19.4,1685091656543
,,4.007,19.4,1685091656891
,,4.017,19.4,1685091656934
,,4.028,19.4,1685091656959
,,4.028,19.4,1685091656993
,,4.038,19.4,1685091657066
,,4.028,19.4,1685091657135
,,4.028,19.4,1685091657327
,,4.038,19.4,1685091657328
,,4.048,19.4,1685091657393
,,4.048,19.4,1685091657509
,,4.069,19.4,1685091657534
,,4.059,19.4,1685091657699
,,4.048,19.4,1685091657736
,,4.048,19.4,1685091657736
,,4.069,19.4,1685091657894
,,4.069,19.4,1685091657921
,,4.069,19.4,1685091657921
,,4.069,19.4,1685091658070
,,4.059,19.4,1685091658093
,,4.038,19.4,1685091658255
,,4.038,19.4,1685091658256
,,4.048,19.4,1685091658308
,,4.048,19.4,1685091658439
,,4.048,19.4,1685091658466
,,4.059,19.4,1685091658466
,,4.048,19.4,1685091658624
,,4.038,19.4,1685091658652
,,4.038,19.4,1685091658808
,,4.038,19.4,1685091658808
,,4.048,19.4,1685091658861
,,4.059,19.4,1685091658992
,,4.080,19.4,1685091659019
,,4.069,19.4,1685091659150
,,4.080,19.4,1685091659339
,,4.080,19.4,1685091659524
,,4.090,19.4,1685091659707
,,4.111,19.4,1685091659758
,,4.121,19.4,1685091659758
,,4.121,19.4,1685091659892
,,4.121,19.4,1685091659918
,,4.121,19.4,1685091659936
,,4.142,19.4,1685091660077
,,4.142,19.4,1685091660106
,,4.132,19.4,1685091660263
,,4.142,19.4,1685091660300
,,4.121,19.4,1685091660300
,,4.121,19.4,1685091660447
,,4.121,19.4,1685091660473
,,4.132,19.4,1685091660493
,,4.132,19.4,1685091660633
,,4.142,19.4,1685091660659
,,4.142,19.4,1685091660819
,,4.142,19.4,1685091660859
,,4.100,19.4,1685091660859
,,4.100,19.4,1685091660908
,,4.121,19.4,1685091660977
,,4.132,19.4,1685091661048
,,4.152,19.4,1685091661118
,,4.152,19.4,1685091661187
,,4.142,19.4,1685091661258
,,4.121,19.4,1685091661327
,,4.121,19.4,1685091661397
,,4.142,19.4,1685091661468
,,4.152,19.4,1685091661538
,,4.152,19.4,1685091661608
,,4.184,19.4,1685091661678
,,4.184,19.4,1685091661748
,,4.173,19.4,1685091661818
,,4.152,19.4,1685091661888
,,4.152,19.4,1685091661957
,,4.163,19.4,1685091662027
,,4.194,19.4,1685091662098
,,4.225,19.4,1685091662169
,,4.204,19.4,1685091662238
,,4.194,19.4,1685091662308
,,4.184,19.4,1685091662378
,,4.204,19.4,1685091662447
,,4.225,19.4,1685091662588
,,4.236,19.4,1685091662659
,,4.236,19.4,1685091662728
,,4.246,19.4,1685091662798
,,4.246,19.4,1685091662867
,,4.256,19.4,1685091662938
,,4.236,19.4,1685091663007
,,4.215,19.4,1685091663077
,,4.225,19.4,1685091663148
,,4.256,19.4,1685091663217
,,4.246,19.4,1685091663288
,,4.225,19.4,1685091663357
,,4.215,19.4,1685091663428
,,4.204,19.4,1685091663497
,,4.204,19.4,1685091663568
,,4.236,19.4,1685091663638
,,4.236,19.4,1685091663707
,,4.225,19.4,1685091663782
,,4.236,19.4,1685091663853
,,4.246,19.4,1685091663917
,,4.236,19.4,1685091663987
,,4.246,19.4,1685091664057
,,4.298,19.4,1685091664128
,,4.329,19.4,1685091664198
,,4.340,19.4,1685091664268
,,4.350,19.4,1685091664337
,,4.340,19.4,1685091664407
,,4.288,19.4,1685091664477
,,4.288,19.4,1685091664547
,,4.309,19.4,1685091664618
,,4.319,19.4,1685091664688
,,4.319,19.4,1685091664758
,,4.319,19.4,1685091664828
,,4.319,19.4,1685091664898
,,4.246,19.4,1685091664968
,,4.236,19.4,1685091665038
,,4.236,19.4,1685091665108
,,4.236,19.4,1685091665177
,,4.246,19.4,1685091665247
,,4.277,19.4,1685091665318
,,4.288,19.4,1685091665387
,,4.277,19.4,1685091665457
,,4.277,19.4,1685091665527
,,4.267,19.4,1685091665602
,,4.267,19.4,1685091665667
,,4.319,19.4,1685091665737
,,4.361,19.4,1685091665808
,,4.361,19.4,1685091665877
,,4.361,19.4,1685091665948
,,4.361,19.4,1685091666018
,,4.371,19.4,1685091666088
,,4.392,19.4,1685091666158
,,4.381,19.4,1685091666227
,,4.392,19.4,1685091666298
,,4.392,19.4,1685091666367
,,4.392,19.4,1685091666437
,,4.392,19.4,1685091666507
,,4.350,19.4,1685091666577
,,4.340,19.4,1685091666647
,,4.361,19.4,1685091666717
,,4.361,19.4,1685091666787
,,4.361,19.4,1685091666858
,,4.350,19.4,1685091666928
,,4.329,19.4,1685091666998
,,4.329,19.4,1685091667141
,,4.340,19.4,1685091667175
,,4.329,19.4,1685091667327
,,4.329,19.4,1685091667363
,,4.340,19.4,1685091667382
,,4.361,19.4,1685091667495
,,4.371,19.4,1685091667522
,,4.350,19.4,1685091667679
,,4.371,19.4,1685091667714
,,4.392,19.4,1685091667714
,,4.402,19.4,1685091667865
,,4.413,19.4,1685091667899
,,4.433,19.4,1685091668053
,,4.402,19.4,1685091668089
,,4.402,19.4,1685091668234
,,4.402,19.4,1685091668269
,,4.402,19.4,1685091668292
,,4.402,19.4,1685091668420
,,4.402,19.4,1685091668452
,,4.433,19.4,1685091668607
,,4.423,19.4,1685091668640
,,4.392,19.4,1685091668640
,,4.392,19.4,1685091668791
,,4.392,19.4,1685091668822
,,4.381,19.4,1685091668843
,,4.402,19.4,1685091668994
,,4.423,19.4,1685091669031
,,4.423,19.4,1685091669167
,,4.433,19.4,1685091669200
,,4.433,19.4,1685091669224
,,4.433,19.4,1685091669243
,,4.413,19.4,1685091669307
,,4.423,19.4,1685091669377
,,4.444,19.4,1685091669447
,,4.444,19.4,1685091669517
,,4.496,19.4,1685091669587
,,4.506,19.4,1685091669657
,,4.496,19.4,1685091669727
,,4.485,19.4,1685091669797
,,4.506,19.4,1685091669867
,,4.537,19.4,1685091669937
,,4.517,19.4,1685091670007
,,4.527,19.4,1685091670077
,,4.537,19.4,1685091670147
,,4.527,19.4,1685091670217
,,4.527,19.4,1685091670287
,,4.527,19.4,1685091670357
,,4.475,19.4,1685091670427
,,4.444,19.4,1685091670497
,,4.454,19.4,1685091670567
,,4.485,19.4,1685091670637
,,4.444,19.4,1685091670708
,,4.392,19.4,1685091670777
,,4.402,19.4,1685091670847
,,4.402,19.4,1685091670988
,,4.413,19.4,1685091671057
,,4.423,19.4,1685091671127
,,4.433,19.4,1685091671197
,,4.433,19.4,1685091671267
,,4.465,19.4,1685091671337
,,4.475,19.4,1685091671407
,,4.465,19.4,1685091671477
,,4.465,19.4,1685091671547
,,4.485,19.4,1685091671618
,,4.517,19.4,1685091671690
,,4.517,19.4,1685091671757
,,4.537,19.4,1685091671827
,,4.527,19.4,1685091671897
,,4.517,19.4,1685091671968
,,4.506,19.4,1685091672037
,,4.496,19.4,1685091672107
,,4.485,19.4,1685091672177
,,4.485,19.4,1685091672247
,,4.506,19.4,1685091672317
,,4.537,19.4,1685091672387
,,4.527,19.4,1685091672457
,,4.517,19.4,1685091672531
,,4.517,19.4,1685091672597
,,4.506,19.4,1685091672667
,,4.506,19.4,1685091672737
